              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00
     7.14939303898915E-01     2.70303402719553E-01     1.36968718526598E-12     1.42924625581164E-21     1.11630201594481E-12     7.00482747018384E-12     8.96383689764322E-17     1.75474702924326E-04     6.50662875847673E-05     1.85291359434808E+15     1.00000000000000E+01
     7.14910520848412E-01     2.70307464798371E-01     1.63361722418013E-12     1.70472162237372E-21     1.33140636236579E-12     6.50471146556198E-12     1.06911112188305E-16     1.62939967728234E-04     7.76010228019243E-05     2.12373604905168E+15     2.00000000000000E+01
     7.14880898691587E-01     2.70312186575402E-01     1.85968310298035E-12     1.94070762817716E-21     1.51565122250893E-12     6.07641030187285E-12     1.21705858135237E-16     1.52204918195833E-04     8.83360723523004E-05     2.38960797285638E+15     3.00000000000000E+01
     7.14850557885712E-01     2.70317473347515E-01     2.05331976527872E-12     2.14287181472224E-21     1.67346610351957E-12     5.70961583160650E-12     1.34378293444530E-16     1.43011200030992E-04     9.75297905324723E-05     2.65124001743257E+15     4.00000000000000E+01
     7.14819601611159E-01     2.70323243995755E-01     2.21918255161471E-12     2.31606873801668E-21     1.80864513201054E-12     5.39549853584434E-12     1.45233084087601E-16     1.35137517168354E-04     1.05403473408174E-04     2.90924093858990E+15     5.00000000000000E+01
     7.14788118244381E-01     2.70329429038374E-01     2.36125896848756E-12     2.46445655622536E-21     1.92443814639581E-12     5.12649553837269E-12     1.54531190037422E-16     1.28394320350964E-04     1.12146670236689E-04     3.16413211085783E+15     6.00000000000000E+01
     7.14756183440968E-01     2.70335968997659E-01     2.48296243070382E-12     2.59159480048504E-21     2.02362709739182E-12     4.89613280986131E-12     1.62496000180206E-16     1.22619351768569E-04     1.17921638828546E-04     3.41635994151337E+15     7.00000000000000E+01
     7.14723862015242E-01     2.70342812914494E-01     2.58721752139227E-12     2.70053329607989E-21     2.10859553537395E-12     4.69886346020026E-12     1.69318912105921E-16     1.17673592714787E-04     1.22867397890368E-04     3.66630674672098E+15     8.00000000000000E+01
     7.14691209501039E-01     2.70349917128831E-01     2.67652997169333E-12     2.79388512863031E-21     2.18138564417471E-12     4.52993501188940E-12     1.75163911887317E-16     1.13437936666519E-04     1.27103053945455E-04     3.91430016793577E+15     9.00000000000000E+01
     7.14658273432041E-01     2.70357244272184E-01     2.75304448311826E-12     2.87388694331309E-21     2.24374536661663E-12     4.38527973169762E-12     1.80171358229360E-16     1.09810440751947E-04     1.30730549865804E-04     4.16062070055534E+15     1.00000000000000E+02
     7.14625094507212E-01     2.70364762347354E-01     2.81859753027386E-12     2.94245399593079E-21     2.29717143900018E-12     4.26141448281720E-12     1.84461438112009E-16     1.06703815209919E-04     1.33837175412713E-04     4.40550845835622E+15     1.10000000000000E+02
     7.14591707585455E-01     2.70372443948546E-01     2.87476211354268E-12     3.00122681632870E-21     2.34294586477070E-12     4.15535584497627E-12     1.88137095602529E-16     1.04043295830853E-04     1.36497694795895E-04     4.64916910012694E+15     1.20000000000000E+02
     7.14558142543460E-01     2.70380265582710E-01     2.92288670751977E-12     3.05161182438703E-21     2.38216765770128E-12     4.06454624323698E-12     1.91286580812485E-16     1.01764792541256E-04     1.38776198088952E-04     4.89177877364219E+15     1.30000000000000E+02
     7.14524424977191E-01     2.70388207124933E-01     2.96412648314370E-12     3.09481385452599E-21     2.41577828806948E-12     3.98679473063717E-12     1.93985493211805E-16     9.98134036966044E-05     1.40727586936502E-04     5.13348844539308E+15     1.40000000000000E+02
     7.14490576793874E-01     2.70396251356924E-01     2.99946981602507E-12     3.13186382168342E-21     2.44458328710885E-12     3.92022671130030E-12     1.96298516449941E-16     9.81421570455042E-05     1.42398833590020E-04     5.37442750021922E+15     1.50000000000000E+02
     7.14456616739099E-01     2.70404383544964E-01     3.02976250584595E-12     3.16364397569558E-21     2.46927198594276E-12     3.86323800501329E-12     1.98281003379986E-16     9.67108583542646E-05     1.43830132283265E-04     5.61470664085608E+15     1.60000000000000E+02
     7.14422560866000E-01     2.70412591067045E-01     3.05572914300814E-12     3.19091014894341E-21     2.49043492948994E-12     3.81445432238273E-12     1.99980374386608E-16     9.54850742309742E-05     1.45055916408207E-04     5.85442054527679E+15     1.70000000000000E+02
     7.14388422930929E-01     2.70420863104934E-01     3.07799079898307E-12     3.21431022292354E-21     2.50857829421306E-12     3.77269771251091E-12     2.01437275119981E-16     9.44352920604511E-05     1.46105698580081E-04     6.09365028611580E+15     1.80000000000000E+02
     7.14354214719925E-01     2.70429190391708E-01     3.09707950549336E-12     3.23439921771089E-21     2.52413568871566E-12     3.73695910108353E-12     2.02686524077344E-16     9.35362312750561E-05     1.47004759366567E-04     6.33246537519619E+15     1.90000000000000E+02
     7.14319946325247E-01     2.70437564994380E-01     3.11345073199223E-12     3.25165230462553E-21     2.53747832295708E-12     3.70637462504655E-12     2.03757929184083E-16     9.27662503333683E-05     1.47774740309124E-04     6.57092539485862E+15     2.00000000000000E+02
     7.14285626386948E-01     2.70445980121322E-01     3.12749443523701E-12     3.26647632784544E-21     2.54892401371154E-12     3.68020467555486E-12     2.04677010926452E-16     9.21068213778571E-05     1.48434169265315E-04     6.80908135014859E+15     2.10000000000000E+02
     7.14251262303871E-01     2.70454429955213E-01     3.13954464395245E-12     3.27921979583828E-21     2.55874499611690E-12     3.65781571930699E-12     2.05465629614140E-16     9.15420745007438E-05     1.48998916142945E-04     7.04697688107602E+15     2.20000000000000E+02
     7.14216860413914E-01     2.70462909512373E-01     3.14988753178020E-12     3.29018130053669E-21     2.56717450317076E-12     3.63866498702410E-12     2.06142513709612E-16     9.10584140076765E-05     1.49482576636390E-04     7.28464935533405E+15     2.30000000000000E+02
