              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00     0.00000000000000E+00
     7.14939334925124E-01     2.70303399254777E-01     4.58618921485267E-10     1.20375252000159E-16     4.05981575673390E-10     1.51217653471772E-08     1.10656695218136E-13     1.75474461819121E-04     6.50505517042582E-05     1.85269893916458E+15     1.00000000000000E+01
     7.14910553636641E-01     2.70307460493140E-01     5.47030298818200E-10     1.43587804874049E-16     4.84248781138839E-10     1.40419778412958E-08     1.31987847892472E-13     1.62938785137406E-04     7.75871414735414E-05     2.12351504286058E+15     2.00000000000000E+01
     7.14880933153031E-01     2.70312181526229E-01     6.22757444202399E-10     1.63472713896719E-16     5.51287121867831E-10     1.31172497500614E-08     1.50258655915336E-13     1.52202997376075E-04     8.83237111791867E-05     2.38937998233879E+15     3.00000000000000E+01
     7.14850593947782E-01     2.70317467634869E-01     6.87621068346469E-10     1.80507576008215E-16     6.08708403318743E-10     1.23253236632719E-08     1.65908405031152E-13     1.43008709095138E-04     9.75186690856385E-05     2.65100453529398E+15     4.00000000000000E+01
     7.14819639217860E-01     2.70323237683658E-01     7.43180766063985E-10     1.95101492354553E-16     6.57893275047374E-10     1.16471342011205E-08     1.79313381140888E-13     1.35134586740852E-04     1.05393364871397E-04     2.90899756534146E+15     5.00000000000000E+01
     7.14788157339569E-01     2.70329422188520E-01     7.90772173753634E-10     2.07604818269833E-16     7.00024124801597E-10     1.10663537796642E-08     1.90795835345716E-13     1.28391081035971E-04     1.12137361622948E-04     3.16388046760365E+15     6.00000000000000E+01
     7.14756224016906E-01     2.70335961628893E-01     8.31539418935300E-10     2.18317676794728E-16     7.36113804853311E-10     1.05689959290722E-08     2.00631813097622E-13     1.22615822691817E-04     1.17913040458180E-04     3.41609987877920E+15     7.00000000000000E+01
     7.14723904051002E-01     2.70342805058282E-01     8.66461829282044E-10     2.27496965058739E-16     7.67029276481791E-10     1.01430887870703E-08     2.09057598329597E-13     1.17669832078175E-04     1.22859391132648E-04     3.66603816460327E+15     8.00000000000000E+01
     7.14691252948268E-01     2.70349908834418E-01     8.96378344606109E-10     2.35362758597027E-16     7.93513220970375E-10     9.77837667302393E-09     2.16275603373865E-13     1.13434055142375E-04     1.27095476372875E-04     3.91402275628585E+15     9.00000000000000E+01
     7.14658318276227E-01     2.70357235557916E-01     9.22007912509286E-10     2.42103659933265E-16     8.16202095093129E-10     9.46607075981883E-09     2.22459289853072E-13     1.09806468128975E-04     1.30723327367556E-04     4.16033427791598E+15     1.00000000000000E+02
     7.14625140750625E-01     2.70364753219275E-01     9.43965886609841E-10     2.47881100487071E-16     8.35640647840158E-10     9.19864861220235E-09     2.27757125105421E-13     1.06699750626357E-04     1.33830270890492E-04     4.40521300801170E+15     1.10000000000000E+02
     7.14591755227263E-01     2.70372434414179E-01     9.62779105645707E-10     2.52833294858426E-16     8.52295269367020E-10     8.96966985167774E-09     2.32296220344644E-13     1.04039144958732E-04     1.36491070064492E-04     4.64886459560905E+15     1.20000000000000E+02
     7.14558191558389E-01     2.70380255672230E-01     9.78898794750638E-10     2.57078624462917E-16     8.66565412002593E-10     8.77361844364073E-09     2.36185443370571E-13     1.01760624981923E-04     1.38769755698984E-04     4.89146516945512E+15     1.30000000000000E+02
     7.14524475334057E-01     2.70388196871341E-01     9.92711822375747E-10     2.60718590489139E-16     8.78793555569195E-10     8.60576508656090E-09     2.39518134544775E-13     9.98092985997533E-05     1.40721223890003E-04     5.13316563649951E+15     1.40000000000000E+02
     7.14490628477235E-01     2.70396240769375E-01     1.00454969958075E-09     2.63840173521256E-16     8.89273174110786E-10     8.46205719947046E-09     2.42374278063665E-13     9.81381300702532E-05     1.42392513807036E-04     5.37409517960798E+15     1.50000000000000E+02
     7.14456669759874E-01     2.70404372612403E-01     1.01469609801654E-09     2.66517802473345E-16     8.98255391277233E-10     8.33902701714431E-09     2.44822315833312E-13     9.67068713764171E-05     1.43823876399988E-04     5.61436469055069E+15     1.60000000000000E+02
     7.14422615241270E-01     2.70412579779748E-01     1.02339370037698E-09     2.68815158696754E-16     9.05955044756124E-10     8.23370784760654E-09     2.46920800292081E-13     9.54810939053591E-05     1.45049742790859E-04     5.85406906857150E+15     1.70000000000000E+02
     7.14388478666637E-01     2.70420851465731E-01     1.03085028593671E-09     2.70786763989209E-16     9.12556073591016E-10     8.14355967693776E-09     2.48719862670332E-13     9.44313202744455E-05     1.46099592510527E-04     6.09328944228518E+15     1.80000000000000E+02
     7.14354271811229E-01     2.70429178409629E-01     1.03724393798571E-09     2.72479350772059E-16     9.18216128090251E-10     8.06640551371008E-09     2.50262469406709E-13     9.35322876698062E-05     1.46998690214079E-04     6.33209520725260E+15     1.90000000000000E+02
     7.14320004766841E-01     2.70437552674295E-01     1.04272729241846E-09     2.73932974995010E-16     9.23070330969887E-10     8.00037944889475E-09     2.51585447202796E-13     9.27623439307202E-05     1.47768689640348E-04     6.57054582836811E+15     2.00000000000000E+02
     7.14285686179473E-01     2.70445967461942E-01     1.04743108062349E-09     2.75181945741886E-16     9.27234413719987E-10     7.94388334714130E-09     2.52720337827280E-13     9.21029450116630E-05     1.48428136186500E-04     6.80869231312631E+15     2.10000000000000E+02
     7.14251323451724E-01     2.70454416954100E-01     1.05146720587660E-09     2.76255632369479E-16     9.30807440025221E-10     7.89554923852585E-09     2.53694140359869E-13     9.15382184035204E-05     1.48992903518625E-04     7.04657838125059E+15     2.20000000000000E+02
     7.14216922919892E-01     2.70462896170090E-01     1.05493146315611E-09     2.77179177715535E-16     9.33874213511381E-10     7.85420607020945E-09     2.54529967405939E-13     9.10545770477694E-05     1.49476579685677E-04     7.28424144576884E+15     2.30000000000000E+02
     7.14182490010440E-01     2.70471400843036E-01     1.05790592212660E-09     2.77974123126614E-16     9.36507387309606E-10     7.81885057552280E-09     2.55247620042800E-13     9.06403811122419E-05     1.49890805368348E-04     7.52171350942266E+15     2.40000000000000E+02
     7.14148029371901E-01     2.70479927317049E-01     1.06046090367052E-09     2.78658926952181E-16     9.38769213804073E-10     7.78862311168281E-09     2.55864064700610E-13     9.02856575004854E-05     1.50245554390143E-04     7.75902196730705E+15     2.50000000000000E+02
