              Y_h1             Y_he4             Y_c12             Y_c13             Y_n13             Y_n14             Y_n15             Y_o14             Y_o15             E_nuc              Time
     6.99464358479813E-01     7.00000000016524E-02     1.17661731482472E-03     4.38453325007964E-07     5.10686105341939E-04     2.75813280051327E-07     8.65022530112234E-15     1.19816113338302E-05     7.01885799273893E-10     1.03902002822699E+15     2.00000000000000E+00
     6.99071034016118E-01     7.00000000439464E-02     8.14566731723658E-04     1.11557883867835E-06     8.40794154301212E-04     1.69100416615369E-06     1.11275532233030E-13     4.18235262862612E-05     9.00457275696754E-09     1.86767292782208E+15     4.00000000000000E+00
     6.98776820292205E-01     7.00000002821707E-02     5.64022051060863E-04     1.66904704785631E-06     1.04714574046075E-03     4.52487986008385E-06     4.63540462138037E-13     8.26008128273009E-05     3.74682796002556E-08     2.55049134165624E+15     6.00000000000000E+00
     6.98552044620645E-01     7.00000010209838E-02     3.90593353152072E-04     2.04928634509564E-06     1.16891204389128E-03     8.74030632716574E-06     1.22969155836442E-12     1.29605678323762E-04     9.93307309248038E-08     3.13065992728932E+15     8.00000000000000E+00
     6.98376218999433E-01     7.00000027106136E-02     2.70520794064301E-04     2.28385528097723E-06     1.23311125790867E-03     1.42231454264123E-05     2.56200077849874E-12     1.79654087888489E-04     2.06856869146991E-07     3.63765921329193E+15     1.00000000000000E+01
     6.98235150690423E-01     7.00000059333548E-02     1.87377080722987E-04     2.41085379207494E-06     1.25838042730247E-03     2.08506113364722E-05     4.59668300500540E-12     2.30610008147142E-04     3.71014102170822E-07     4.09182226051912E+15     1.20000000000000E+01
     6.98118983437170E-01     7.00000113888855E-02     1.29798789991995E-04     2.46248098569012E-06     1.25757044863542E-03     2.85086213857523E-05     7.45433436122133E-12     2.81058142107544E-04     6.01509439262050E-07     4.50725709785803E+15     1.40000000000000E+01
     6.98020856190215E-01     7.00000198805840E-02     8.99225134789904E-05     2.46278031337163E-06     1.23953482274528E-03     3.70945371137425E-05     1.12413733436329E-11     3.30078428882570E-04     9.06906224671810E-07     4.89379553601458E+15     1.60000000000000E+01
     6.97935979994124E-01     7.00000323032195E-02     6.23053825194412E-05     2.42889263433198E-06     1.21036430836364E-03     4.65161600740337E-05     1.60515134162499E-11     3.77090497373880E-04     1.29474298315496E-06     5.25831808109627E+15     1.80000000000000E+01
     6.97861000978533E-01     7.00000496319090E-02     4.31792340914409E-05     2.37279264288191E-06     1.17423990425526E-03     5.66900988652633E-05     2.19670463476987E-11     4.21746311232776E-04     1.77163694532555E-06     5.60566312265907E+15     2.00000000000000E+01
     6.97793560126005E-01     7.00000729121580E-02     2.99349450899094E-05     2.30275974738425E-06     1.13402252509293E-03     6.75403087902781E-05     2.90599233291883E-11     4.63856060896438E-04     2.34337132312996E-06     5.93925367915980E+15     2.20000000000000E+01
     6.97731988749216E-01     7.00001032508134E-02     2.07657206959844E-05     2.22447971214710E-06     1.09166083789113E-03     7.89969406603712E-05     3.73926684507720E-11     5.03337014515266E-04     3.01496913242692E-06     6.26153044356769E+15     2.40000000000000E+01
     6.97675097731236E-01     7.00001418077927E-02     1.44202716102449E-05     2.14183320262118E-06     1.04847338957425E-03     9.09954641690095E-05     4.70191621594612E-11     5.40178237854115E-04     3.79075657059474E-06     6.57425134214080E+15     2.60000000000000E+01
     6.97622031572212E-01     7.00001897884868E-02     1.00319618467945E-05     2.05744982663016E-06     1.00534382901015E-03     1.03476001762042E-04     5.79853252818117E-11     5.74416281183633E-04     4.67441838541701E-06     6.87869893953476E+15     2.80000000000000E+01
     6.97572167282945E-01     7.00002484367551E-02     7.00053275981809E-06     1.97309422066577E-06     9.62855987600232E-04     1.16382816289012E-04     7.03297263361523E-11     6.06118451755637E-04     5.66904704490414E-06     7.17582410734704E+15     3.00000000000000E+01
     6.97525044313106E-01     7.00003190284505E-02     4.91020935972996E-06     1.88993411805202E-06     9.21387345176016E-04     1.29663909179311E-04     8.40841285935764E-11     6.35371331061491E-04     6.77718702126783E-06     7.46634559764407E+15     3.20000000000000E+01
     6.97480315965567E-01     7.00004028654245E-02     3.47299243445824E-06     1.80872614606127E-06     8.81173690659413E-04     1.43270697908081E-04     9.92739886969966E-11     6.62272918443159E-04     8.00087513483421E-06     7.75081909211238E+15     3.40000000000000E+01
     6.97437715681084E-01     7.00005012699716E-02     2.48937845531081E-06     1.72994450984215E-06     8.42353853114808E-04     1.57157750612223E-04     1.15918915379621E-10     6.86927279743511E-04     9.34167764538609E-06     8.02968512676168E+15     3.60000000000000E+01
     6.97397033641578E-01     7.00006155796799E-02     1.82116954890018E-06     1.65386999643632E-06     8.05000609823423E-04     1.71282562420543E-04     1.34033094403935E-10     7.09440929590927E-04     1.08007245866719E-05     8.30330235851122E+15     3.80000000000000E+01
     6.97358100498303E-01     7.00007471426569E-02     1.37262841022699E-06     1.58065157285233E-06     7.69142055886763E-04     1.85605362506960E-04     1.53625684381495E-10     7.29920406273951E-04     1.23787417235579E-05     8.57197071039414E+15     4.00000000000000E+01
     6.97320776051611E-01     7.00008973131071E-02     1.07742972964958E-06     1.51034894400073E-06     7.34776350746817E-04     2.00088944302785E-04     1.74701186858411E-10     7.48470671166188E-04     1.40760804093686E-05     8.83594748240533E+15     4.20000000000000E+01
     6.97284941358310E-01     7.00010674472379E-02     8.89621188080173E-07     1.44296194139296E-06     7.01881885767470E-04     2.14698513465399E-04     1.97259793332032E-10     7.65194074815098E-04     1.58927455627614E-05     9.09545859269758E+15     4.40000000000000E+01
     6.97250493216551E-01     7.00012588994737E-02     7.77362890884988E-07     1.37845078917182E-06     6.70424281109044E-04     2.29401549802653E-04     2.21297711271613E-10     7.80189712175044E-04     1.78284219354864E-05     9.35070644063174E+15     4.60000000000000E+01
     6.97217340296527E-01     7.00014730189587E-02     7.18587522693003E-07     1.31675006722251E-06     6.40361192872455E-04     2.44167680408975E-04     2.46807470883123E-10     7.93553043506073E-04     1.98824988151066E-05     9.60187543098718E+15     4.80000000000000E+01
     6.97185400417536E-01     7.00017111463326E-02     6.97995839814850E-07     1.25777829600928E-06     6.11645599944729E-04     2.58968562085736E-04     2.73778213979149E-10     8.05375696780021E-04     2.20540932754708E-05     9.84913586876159E+15     5.00000000000000E+01
     6.97154598623260E-01     7.00019746107635E-02     7.04979540388636E-07     1.20144448446656E-06     5.84228037011871E-04     2.73777771652694E-04     3.02195966059609E-10     8.15745393047783E-04     2.43420720668249E-05     1.00926467190740E+16     5.20000000000000E+01
     6.97124865801631E-01     7.00022647272211E-02     7.32174571789143E-07     1.14765261693569E-06     5.58058113050073E-04     2.88570702983296E-04     3.32043892883480E-10     8.24745952483184E-04     2.67450722508235E-05     1.03325575924650E+16     5.40000000000000E+01
     6.97096137695220E-01     7.00025827939781E-02     7.74464434220032E-07     1.09630467235969E-06     5.33085521531272E-04     3.03324470090169E-04     3.63302542207399E-10     8.32457355332700E-04     2.92615206367320E-05     1.05690101744548E+16     5.60000000000000E+01
     6.97068354177180E-01     7.00029300903258E-02     8.28287370805168E-07     1.04730265571208E-06     5.09260709137077E-04     3.18017815570111E-04     3.95950071686706E-10     8.38955837215743E-04     3.18896521004753E-05     1.08021392769127E+16     5.80000000000000E+01
     6.97041458716256E-01     7.00033078744930E-02     8.91158010499188E-07     1.00054993546984E-06     4.86535305072256E-04     3.32631023985314E-04     4.29962463559799E-10     8.44314006196334E-04     3.46275268376581E-05     1.10320736199288E+16     6.00000000000000E+01
     6.97015397972009E-01     7.00037173817536E-02     9.61334873802728E-07     9.55952112128220E-07     4.64862389098933E-04     3.47145839729779E-04     4.65313726978154E-10     8.48600972250579E-04     3.74730466210443E-05     1.12589364278342E+16     6.20000000000000E+01
     6.96990121481144E-01     7.00041598227101E-02     1.03758831438016E-06     9.13417566516110E-07     4.44196649898090E-04     3.61545388987759E-04     5.01976088845390E-10     8.51882483124451E-04     4.04239701327092E-05     1.14828458949953E+16     6.40000000000000E+01
     6.96965581415597E-01     7.00046363817559E-02     1.11904594728041E-06     8.72857763851749E-07     4.24494460221248E-04     3.75814105871704E-04     5.39920172767232E-10     8.54221062936951E-04     4.34779273387862E-05     1.17039155488359E+16     6.60000000000000E+01
     6.96941732381627E-01     7.00051482156896E-02     1.20508049057337E-06     8.34187427377279E-07     4.05713908146472E-04     3.89937662053244E-04     5.79115167914045E-10     8.55676149713168E-04     4.66324330539914E-05     1.19222545539063E+16     6.80000000000000E+01
     6.96918531253278E-01     7.00056964524770E-02     1.29523228942025E-06     7.97324606894421E-07     3.87814793236095E-04     4.03902899833904E-04     6.19528987946879E-10     8.56304230798267E-04     4.98848997064242E-05     1.21379679664442E+16     7.00000000000000E+01
     6.96895937032899E-01     7.00062821901571E-02     1.38915800788733E-06     7.62190670154503E-07     3.70758597283920E-04     4.17697768596125E-04     6.61128420135029E-10     8.56158974999240E-04     5.32326493142463E-05     1.23511569498315E+16     7.20000000000000E+01
     6.96873910728450E-01     7.00069064958806E-02     1.48659389460904E-06     7.28710254541663E-07     3.54508442548886E-04     4.31311264338402E-04     7.03879265490623E-10     8.55291360343214E-04     5.66729247410754E-05     1.25619189655948E+16     7.40000000000000E+01
     6.96852415244802E-01     7.00075704050711E-02     1.58733052740878E-06     6.96811188902299E-07     3.39029040850396E-04     4.44733372168691E-04     7.47746470305336E-10     8.53749797257426E-04     6.02029002606989E-05     1.27703479439729E+16     7.60000000000000E+01
     6.96831415286120E-01     7.00082749207051E-02     1.69119581959373E-06     6.66424395842124E-07     3.24286637058343E-04     4.57955011642711E-04     7.92694249427283E-10     8.51580246930729E-04     6.38196914585250E-05     1.29765344381924E+16     7.80000000000000E+01
     6.96810877265398E-01     7.00090210126881E-02     1.79804249268683E-06     6.37483785649782E-07     3.10248950652691E-04     4.70967984450863E-04     8.38686202723274E-10     8.48826335345284E-04     6.75203645866150E-05     1.31805657681391E+16     8.00000000000000E+01
     6.96790769221921E-01     7.00098096173448E-02     1.90774010858866E-06     6.09926142821159E-07     2.96885115888719E-04     4.83764924929275E-04     8.85685423392816E-10     8.45529461981968E-04     7.13019452631982E-05     1.33825261522683E+16     8.20000000000000E+01
     6.96771060745089E-01     7.00106416370148E-02     2.02017012505786E-06     5.83691009840754E-07     2.84165622100429E-04     4.96339253228686E-04     9.33654598558966E-10     8.41728903323721E-04     7.51614265576596E-05     1.35824968299771E+16     8.40000000000000E+01
     6.96751722901984E-01     7.00115179397272E-02     2.13522192611139E-06     5.58720573242080E-07     2.72062255632609E-04     5.08685130513292E-04     9.82556104196561E-10     8.37461912189263E-04     7.90957766093711E-05     1.37805561783183E+16     8.60000000000000E+01
     6.96732728168683E-01     7.00124393589514E-02     2.25278984803571E-06     5.34959551872906E-07     2.60548043375163E-04     5.20797416189074E-04     1.03235209408032E-09     8.32763812901634E-04     8.31019457821191E-05     1.39767798230318E+16     8.80000000000000E+01
     6.96714050365725E-01     7.00134066934310E-02     2.37277143733206E-06     5.12355086963659E-07     2.49597197815564E-04     5.32671627301085E-04     1.08300458269555E-09     8.27668092031148E-04     8.71768733233171E-05     1.41712407433049E+16     9.00000000000000E+01
     6.96695664597396E-01     7.00144207070957E-02     2.49506656372354E-06     4.90856635225664E-07     2.39185064024197E-04     5.44303900089567E-04     1.13447552198557E-09     8.22206484679025E-04     9.13174935327325E-05     1.43640093707409E+16     9.20000000000000E+01
